policy_short,policy_long,policy_year,category,description
financial,State financial aid for undocumented students,financial_1,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_2,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_3,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_4,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_5,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_6,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_7,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_8,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_9,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_10,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_11,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_12,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_13,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_14,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_15,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_16,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
driver,State driver's license for undocumented immigrants,driver_0,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_1,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_2,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_3,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_4,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_5,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_6,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_7,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_8,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_9,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_10,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_11,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_12,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_13,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_14,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_15,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
driver,State driver's license for undocumented immigrants,driver_16,integration,"State allows undocumented immigrants to apply for driver's licenses and state ID cards, not to be used for federal identification purposes.  "
ban,Denies university enrollment to undocumented students,ban_0,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_1,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_2,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_3,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_4,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_5,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_6,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_7,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_8,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_9,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_10,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_11,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_12,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_13,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_14,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_15,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
ban,Denies university enrollment to undocumented students,ban_16,integration,"State denies enrollment at its public colleges and universities to undocumented students. These policies include banning undocumented students from all public postsecondary institutions, or banning undocumented students from selective public colleges and universities."
english,English is official language,english_0,integration,State formally recognizes English as its official language.
english,English is official language,english_1,integration,State formally recognizes English as its official language.
english,English is official language,english_2,integration,State formally recognizes English as its official language.
english,English is official language,english_3,integration,State formally recognizes English as its official language.
english,English is official language,english_4,integration,State formally recognizes English as its official language.
english,English is official language,english_5,integration,State formally recognizes English as its official language.
english,English is official language,english_6,integration,State formally recognizes English as its official language.
english,English is official language,english_7,integration,State formally recognizes English as its official language.
english,English is official language,english_8,integration,State formally recognizes English as its official language.
english,English is official language,english_9,integration,State formally recognizes English as its official language.
english,English is official language,english_10,integration,State formally recognizes English as its official language.
english,English is official language,english_11,integration,State formally recognizes English as its official language.
english,English is official language,english_12,integration,State formally recognizes English as its official language.
english,English is official language,english_13,integration,State formally recognizes English as its official language.
english,English is official language,english_14,integration,State formally recognizes English as its official language.
english,English is official language,english_15,integration,State formally recognizes English as its official language.
english,English is official language,english_16,integration,State formally recognizes English as its official language.
task,"287(g) agreement, task force model",task_0,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_1,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_2,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_3,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_4,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_5,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_6,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_7,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_8,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_9,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_10,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_11,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_12,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_13,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_14,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_15,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
task,"287(g) agreement, task force model",task_16,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) task force agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community."
jail,"287(g) agreement, jail model",jail_0,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_1,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_2,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_3,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_4,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_5,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_6,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_7,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_8,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_9,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_10,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_11,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_12,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_13,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_14,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_15,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
jail,"287(g) agreement, jail model",jail_16,enforcement,"Either a state agency, or some or all of the highest immigrant-population counties in the state, have a 287(g) jail agreement with the Department of Homeland Security (DHS). 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and authority to arrest and detain individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails."
scomm,Secure Communities,scomm_0,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
scomm,Secure Communities,scomm_1,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
scomm,Secure Communities,scomm_2,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
scomm,Secure Communities,scomm_3,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
scomm,Secure Communities,scomm_4,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
scomm,Secure Communities,scomm_5,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
scomm,Secure Communities,scomm_6,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
scomm,Secure Communities,scomm_7,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
scomm,Secure Communities,scomm_8,enforcement,"State activated its participation in Secure Communities, a federal data sharing program that ran from 2008-2014, reinstated in January 2017. State participation was initially understood to be voluntary, but became mandatory by 2013. Through Secure Communities, fingerprints submitted by local law enforcement agencies to the FBI are also shared with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, including issuing a detainer request."
